Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2018-06-17 20:27:53,Phrak 1,27m,Chin Up,1,0,3.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Chin Up,2,0,3.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Chin Up,3,0,3.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Overhead Press (Dumbbell),1,5.4431084400000000,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Overhead Press (Dumbbell),2,5.4431084400000000,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Overhead Press (Dumbbell),3,5.4431084400000000,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Squat (Bodyweight),1,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Squat (Bodyweight),2,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Squat (Bodyweight),3,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Dead Bugs,1,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Dead Bugs,2,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Dead Bugs,3,0,10.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Triceps Dip,1,0,3.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Triceps Dip,2,0,3.0,0,0.0,,,
2018-06-17 20:27:53,Phrak 1,27m,Triceps Dip,3,0,3.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bent Over Row (Dumbbell),1,15.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bent Over Row (Dumbbell),2,15.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bent Over Row (Dumbbell),3,15.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bench Press (Dumbbell),1,12.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bench Press (Dumbbell),2,12.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bench Press (Dumbbell),3,15.0,15.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Deadlift (Barbell),1,12.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Deadlift (Barbell),2,12.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Deadlift (Barbell),3,12.0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bird Dogs,1,0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bird Dogs,2,0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Bird Dogs,3,0,10.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Triceps Dip,1,0,5.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Triceps Dip,2,0,5.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Triceps Dip,3,0,5.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Pull Up,1,0,2.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Pull Up,2,0,2.0,0,0.0,,,
2018-06-19 19:44:16,Phrak 2,24m,Pull Up,3,0,2.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Chin Up,1,0,3.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Chin Up,2,0,3.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Chin Up,3,0,3.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Overhead Press (Dumbbell),1,5.4431084400000000,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Overhead Press (Dumbbell),2,5.4431084400000000,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Overhead Press (Dumbbell),3,5.4431084400000000,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Squat (Bodyweight),1,0,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Squat (Bodyweight),2,0,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Squat (Bodyweight),3,0,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Dead Bugs,1,0,10.0,0,0.0,,,
2018-06-26 19:19:45,Phrak 1,18m,Dead Bugs,2,0,10.0,0,0.0,,,
